step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,0.0,1,0.0,7928.262995556537,0.16069491932009247
10.0,0.0,1,0.0,28944.779354123086,0.2974786187041631
15.0,0.0,0,0.0,52320.217573909555,0.666331231378016
20.0,-6.6165468504926,1,0.0,42579.45799080021,0.6544288869524435
25.0,-9.027333607020068,1,2.0,59449.14649260277,0.5588246588877891
30.0,-13.58070622080971,2,10.0,54434.99032099021,0.4124506732644803
35.0,-7.4188104284752034,2,7.0,53480.8320136624,0.40587590885236935
40.0,-12.83718574494917,1,1.0,47792.40214985884,0.4208825009404848
45.0,-2.301234233596886,3,10.0,44246.42839453025,0.46943765547796223
50.0,-5.420314753131994,0,6.0,45700.153619005294,0.5745946340941922
55.0,-9.335019976933687,2,7.0,14401.19416721616,0.5125415304066379
60.0,-7.56084103324481,5,22.0,17904.605738803533,0.13616439827177595
65.0,0.0,1,22.0,44312.08691957546,0.25683271578596256
70.0,0.0,0,5.0,54330.32451497058,0.6607914580768675
75.0,-6.765353888606928,1,1.0,35143.3396640416,0.49271127134748643
80.0,-11.825147162789165,0,1.0,67885.74590742946,0.5389496167917069
85.0,-8.696538336744595,4,13.0,53090.27989210335,0.514276468181933
90.0,-8.005762868218667,5,31.0,61253.11213452688,0.5089251875516664
95.0,-17.50046475052843,0,20.0,49407.00992409552,0.32262302505238055
100.0,-9.154887867589284,2,6.0,50474.11061567107,0.42625026317471976
105.0,-4.6015213814376,4,20.0,48880.08282554102,0.31469696789762497
110.0,-6.68037717355991,0,9.0,35409.8405564516,0.3216153173529738
115.0,-6.394411449735125,2,6.0,48080.941209983735,0.31489082997206563
120.0,-3.948750557172151,3,16.0,76722.78889874114,0.4685128950215802
125.0,-13.08862482458196,0,9.0,67492.20982196282,0.5719905194830669
130.0,-14.605846017427265,2,7.0,49414.68524913888,0.5438330722569554
135.0,-6.855507355336179,5,25.0,34273.848063380174,0.2567985979957294
140.0,-4.015671794520276,2,32.0,46571.857859905205,0.24337834961086965
145.0,-10.476725930409739,2,20.0,31990.864983485444,0.23107453380955748
150.0,0.0,2,19.0,57486.54953827555,0.45129318903866533
