step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,-11899.766114354012,1,0.0,11899.766114354012,0.12759354055194028
10.0,-27334.918689160306,0,0.0,27334.918689160306,0.2545182585282471
15.0,-68418.58279312725,1,0.0,68418.58279312725,0.6019690083914796
20.0,-39633.065849122315,1,0.0,39633.065849122315,0.6989079523928496
25.0,-55462.71726415127,3,2.0,55462.71726415127,0.5597874692680551
30.0,-50201.28754605129,3,10.0,50201.28754605129,0.3889081782030497
35.0,-53588.600423198855,0,3.0,53588.600423198855,0.598433739579453
40.0,-39178.75628037809,1,1.0,39178.75628037809,0.6061412198806122
45.0,-31715.01819932807,2,8.0,31715.01819932807,0.4555373290563664
50.0,-43485.673171735034,1,3.0,43485.673171735034,0.4637933151978008
55.0,-29246.42033532212,0,0.0,29246.42033532212,0.6138985827036635
60.0,-38010.804675766914,0,0.0,38010.804675766914,0.546856165346066
65.0,-24983.381162537717,0,0.0,24983.381162537717,0.6467595805915783
70.0,-35631.47432858741,1,0.0,35631.47432858741,0.5062793926988355
75.0,-28434.1559633132,3,7.0,28434.1559633132,0.27209641215249203
80.0,-72830.4086521386,4,13.0,72830.4086521386,0.26518438368381275
85.0,-69368.44700619289,2,5.0,69368.44700619289,0.4137995580332951
90.0,-77218.39598458514,1,6.0,77218.39598458514,0.6628911313822548
95.0,-40798.406960195025,1,1.0,40798.406960195025,0.4636303707374492
100.0,-61882.89700552833,2,4.0,61882.89700552833,0.35564274118957445
105.0,-64443.53814138986,4,17.0,64443.53814138986,0.4136607982329731
110.0,-41825.448834090166,2,21.0,41825.448834090166,0.5128314134053515
115.0,-25058.78455126578,0,0.0,25058.78455126578,0.30383256415139
120.0,-62896.35799739827,3,8.0,62896.35799739827,0.38304811258980437
125.0,-61570.99989555722,3,16.0,61570.99989555722,0.4963355149952584
130.0,-28290.9658808851,1,9.0,28290.9658808851,0.4555108267810478
135.0,-51471.37308177369,4,15.0,51471.37308177369,0.15609155584519982
140.0,-70511.04287747025,0,15.0,70511.04287747025,0.335717801113092
145.0,-87564.83726119992,0,0.0,87564.83726119992,0.6195957589339266
150.0,-64751.710509474535,1,5.0,64751.710509474535,0.676878808340063
155.0,-35313.97673546468,0,0.0,35313.97673546468,0.4236378917759619
160.0,-45181.77185855441,2,7.0,45181.77185855441,0.33657425920428835
165.0,-44241.60797410704,3,19.0,44241.60797410704,0.45246851539909827
170.0,-17762.043233527038,0,16.0,17762.043233527038,0.32878389525607365
175.0,-23854.400134188563,2,5.0,23854.400134188563,0.3687060311685796
180.0,-21811.24147092963,2,15.0,21811.24147092963,0.45711141188570625
185.0,-19517.468514854994,2,0.0,19517.468514854994,0.3633049058586713
190.0,-29826.71941737811,1,0.0,29826.71941737811,0.351164430996887
195.0,-55889.36592181814,1,0.0,55889.36592181814,0.43235385486260497
200.0,-35780.93017632992,1,2.0,35780.93017632992,0.43124218182696117
205.0,-50434.90643070568,1,0.0,50434.90643070568,0.551826754910991
210.0,-51855.48358253726,1,1.0,51855.48358253726,0.501824692956481
215.0,-36454.20979561497,0,3.0,36454.20979561497,0.6555520245286945
220.0,-26032.002148225096,1,3.0,26032.002148225096,0.4612612664096777
225.0,-37534.93787857655,4,12.0,37534.93787857655,0.3028964447931265
230.0,-30983.79075626946,0,11.0,30983.79075626946,0.4074108913350449
235.0,-43619.47054640229,1,2.0,43619.47054640229,0.596739094371514
240.0,-28555.493533869692,5,9.0,28555.493533869692,0.4299676878803144
245.0,-23705.946869647334,2,9.0,23705.946869647334,0.30505485461338916
250.0,-27570.595802366686,3,11.0,27570.595802366686,0.16892407414800056
255.0,-52257.50518076545,2,21.0,52257.50518076545,0.4857993946349926
260.0,-49721.252954001444,1,3.0,49721.252954001444,0.5790905200780542
265.0,-28731.865987473335,2,7.0,28731.865987473335,0.3686219059040239
270.0,-66489.08925916378,6,22.0,66489.08925916378,0.3268240885265272
