step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,3,0,0.0,9404.559069229317,0.24288570678339702
10.0,5,0,0.0,27736.23769769664,0.4668853085367294
15.0,6,0,0.0,48439.499163725195,0.7227953788831992
20.0,5,0,0.0,34438.06730052103,0.7849234823090999
25.0,4,2,1.0,26049.285914062002,0.4530112412066252
30.0,5,3,11.0,25131.671432123432,0.29740698844240304
35.0,9,2,10.0,62606.02785623116,0.2945156165945487
40.0,9,2,0.0,77858.55320064702,0.5188705274450219
45.0,7,2,0.0,69491.37330913241,0.6333376672845478
50.0,6,0,0.0,51962.92218787289,0.6335421250313081
55.0,6,1,0.0,57288.47479862634,0.5597125070413432
60.0,11,5,5.0,69999.4620594553,0.37658323836122237
65.0,12,0,9.0,58461.83564074037,0.4931685578013744
70.0,8,2,8.0,62589.00292664236,0.4345333479353401
75.0,7,5,25.0,61746.730815399394,0.3448290224091086
80.0,3,2,31.0,41042.9603599448,0.4617169149783294
85.0,3,2,17.0,32185.12488273458,0.3772095522315712
90.0,3,2,13.0,45188.67334688615,0.34933479360350833
95.0,2,1,5.0,34362.74866616847,0.4271217103185779
100.0,-2,1,0.0,20527.683460107888,0.6065610259215496
105.0,2,1,0.0,51609.862229522,0.4498385713889728
110.0,4,1,0.0,62954.566897114295,0.4328069656903987
115.0,6,1,0.0,63973.809601933855,0.6130612421643089
120.0,8,1,0.0,66915.25078236368,0.5828886432979559
125.0,9,0,0.0,48047.55630363163,0.6740779620536825
130.0,5,2,6.0,47613.04233559585,0.6491247712397034
135.0,2,3,19.0,10555.033489346655,0.3921001262053373
140.0,3,0,8.0,22886.505573983304,0.18653376902077767
145.0,0,2,7.0,21058.55944992591,0.24058894287765384
150.0,2,2,17.0,41781.00369671874,0.36953598144461997
155.0,3,0,11.0,57877.23553645939,0.6200398406594445
160.0,2,1,3.0,36963.139770050875,0.6294436746463846
165.0,2,1,8.0,15826.615265527715,0.3942837650806656
170.0,3,0,0.0,39882.49276966535,0.29939643510836156
175.0,2,1,5.0,38588.1310029449,0.5647075657266722
180.0,7,1,10.0,43710.45230532584,0.4922724461556388
185.0,9,0,1.0,48913.04996654672,0.506276434297105
190.0,10,3,6.0,63464.16261642086,0.5169029782241594
195.0,7,5,25.0,38220.81960920394,0.4136079657517058
200.0,7,0,23.0,21636.544244241213,0.2958266777314711
205.0,5,3,6.0,39468.47989574867,0.18498394533929005
210.0,5,4,21.0,43044.72115171637,0.32124137712659867
215.0,8,2,18.0,64470.876588112726,0.42735838925800207
220.0,7,0,5.0,62310.035557210955,0.555451558639293
225.0,5,2,3.0,62418.62668183872,0.45693400429148007
230.0,6,1,6.0,52982.61189330688,0.4842992315452038
235.0,6,2,6.0,39549.29408094048,0.37940891547942557
240.0,4,1,9.0,42993.685027432046,0.5001716801256456
245.0,3,1,1.0,39694.850704337856,0.3676230857584677
250.0,5,4,16.0,38133.729589677045,0.4084087605809253
255.0,7,5,41.0,22852.317494059702,0.30925117770118826
260.0,8,4,39.0,30955.912524547413,0.20028984659286156
265.0,6,2,17.0,68288.9738815003,0.35332074552568454
270.0,3,1,6.0,53618.03088343711,0.6437630623190616
275.0,4,1,0.0,40399.84851431437,0.6727554873212584
280.0,1,1,2.0,24889.494446160912,0.3422084930829903
285.0,1,3,14.0,49713.816262237684,0.44135108734346573
290.0,2,1,7.0,33582.012963406305,0.5841276209501165
295.0,5,0,0.0,40982.33933258444,0.370652373104649
300.0,11,3,12.0,58590.07183434321,0.32791508936762914
305.0,16,1,6.0,92099.2224519746,0.4459152669216507
310.0,15,0,1.0,92795.03177214522,0.5633163115142981
315.0,12,1,5.0,77142.0441523126,0.6269873785242773
320.0,8,1,2.0,45191.32967710594,0.38407003874280976
325.0,2,4,11.0,37648.036259718814,0.32407950111028827
330.0,2,5,33.0,53526.55857868827,0.24343571475435574
335.0,3,1,28.0,41297.0999016229,0.42140695711752046
340.0,3,1,7.0,37779.43743639242,0.4299033746745447
345.0,4,2,3.0,52359.92777498193,0.40855852847047064
350.0,3,1,1.0,60142.34468339928,0.45628799996288083
355.0,3,3,9.0,56689.6707357023,0.4444790314925481
360.0,7,4,22.0,49527.97103985169,0.43683100013077225
365.0,9,2,24.0,58762.4907252807,0.41364516908356996
370.0,8,0,7.0,68494.43275273043,0.49972323927407325
375.0,7,2,3.0,74043.70521702793,0.4764551646313669
380.0,8,1,2.0,60765.12140896899,0.5140303301506612
385.0,11,1,6.0,48301.87327029255,0.3073690421836949
390.0,18,6,25.0,81736.31206046295,0.38719183214913444
395.0,19,4,24.0,99790.85046760247,0.4433346933125785
400.0,20,3,13.0,77394.36295468098,0.37693016937737345
405.0,17,5,28.0,131991.6893467165,0.3867859863681658
410.0,18,5,37.0,93636.37662522755,0.44970404224263244
415.0,17,5,33.0,70616.18101988148,0.3322327908780235
420.0,15,11,57.0,84782.14518470634,0.2658779775691895
425.0,16,9,82.0,89310.30931889157,0.26145066896829633
430.0,17,4,68.0,98225.5193867511,0.2673703328214506
435.0,15,6,52.0,81306.23052792679,0.2631625277101405
440.0,16,3,56.0,86010.4637670207,0.27519986216096476
445.0,20,9,59.0,118086.38292193052,0.3231858248413789
450.0,18,12,99.0,123065.60498486343,0.2965919424518839
455.0,16,5,105.0,59008.74716537896,0.24330470521697983
460.0,11,2,61.0,100065.55294443211,0.27458039793666167
465.0,11,5,27.0,96753.00412668893,0.3502724158061059
470.0,13,3,33.0,79140.12408189113,0.36933129332696024
475.0,15,7,38.0,61725.893310175226,0.22909776439270874
480.0,16,10,75.0,75989.3784641953,0.1803360393920879
485.0,14,8,98.0,73978.46624123739,0.18214947871477316
490.0,10,3,70.0,104337.85487038747,0.2927123768940835
495.0,6,2,35.0,72218.86655506164,0.39454193701099943
500.0,6,2,33.0,64421.320922802865,0.436686986219337
505.0,6,6,33.0,46243.53163340471,0.31860110273772335
510.0,10,9,67.0,61444.91125274889,0.19443136624987034
515.0,11,3,68.0,82523.63980627847,0.3752592350082456
520.0,6,1,23.0,45667.367340574885,0.6342300407662201
525.0,3,2,10.0,40087.29928336992,0.44786472472699795
530.0,7,2,10.0,57913.114244943376,0.25071743958451137
535.0,7,3,9.0,61498.76290369613,0.38145331091981916
540.0,14,4,24.0,64681.947717952025,0.39583243512453364
545.0,15,1,14.0,92703.79086888237,0.5078627897560599
550.0,13,1,3.0,70999.01783505484,0.4857451454796974
555.0,13,5,20.0,92488.35827573568,0.3844179374885384
560.0,10,5,29.0,63667.57167824854,0.40615007337022857
565.0,7,2,19.0,63944.407072479604,0.3775512047747048
570.0,0,5,27.0,29415.269793348685,0.3222174583583737
575.0,6,3,29.0,53546.5269518478,0.21631066071427468
580.0,5,3,17.0,71070.31918410445,0.30926834122360275
585.0,12,4,30.0,87766.98685194594,0.4311739644869292
590.0,15,1,19.0,75803.55311573712,0.4673795538760263
595.0,12,4,12.0,66441.91560916121,0.3082733972893119
600.0,10,7,38.0,73282.4139220145,0.2793724633259955
605.0,13,5,48.0,87402.4425023799,0.32526878087274047
610.0,16,4,39.0,70509.91415902917,0.26890457762143977
615.0,18,10,37.0,107844.78140664262,0.26438085510311704
620.0,19,2,47.0,123071.69451239894,0.4083472483739119
625.0,19,3,37.0,118197.49047111574,0.4645551488681707
630.0,16,7,44.0,96110.96842313146,0.398859740069295
635.0,21,4,50.0,69642.71649968359,0.24892775014216903
640.0,20,5,38.0,118207.2767352572,0.2729417281776583
645.0,17,8,49.0,105085.55753117164,0.2889440642199143
650.0,24,6,55.0,95728.21499263459,0.2505146803289013
655.0,22,6,48.0,102049.03692070277,0.23128771665984948
660.0,20,10,74.0,144576.00812562872,0.29730938660004586
665.0,22,7,78.0,101055.73876713317,0.31793362451020163
670.0,19,6,47.0,89443.00691000352,0.2484246317937114
675.0,19,12,57.0,83296.14785825904,0.24617433020551227
680.0,24,8,80.0,90823.41382601284,0.22086036134309428
685.0,25,9,70.0,136896.84380181774,0.22455863677049084
690.0,27,12,75.0,147236.53032658386,0.27872091881145183
695.0,30,6,94.0,137479.42817129442,0.2950372461121098
700.0,32,6,69.0,158642.89714429638,0.31307195951863914
705.0,29,11,70.0,128371.20403379551,0.2814171066463737
710.0,29,11,96.0,111466.30054991947,0.2206633249424994
715.0,29,13,101.0,113682.9886732238,0.18626796289204875
720.0,30,19,119.0,134287.3922123326,0.14609696213754153
725.0,36,16,165.0,140516.11321101215,0.18582232765723106
730.0,31,13,183.0,143074.84160847377,0.216829789638132
735.0,33,12,171.0,135908.8117963405,0.27706939081170134
740.0,34,9,191.0,138539.7549688646,0.2572721641762631
745.0,32,9,176.0,124911.29467123668,0.21887071790874185
750.0,33,15,183.0,130424.92786130587,0.1953435001942422
755.0,35,17,216.0,119408.54074989783,0.14900248687414164
760.0,37,19,214.0,175186.63885285665,0.1533604416465029
765.0,35,16,219.0,179732.66147432427,0.22573651136098752
770.0,37,9,241.0,169678.8589326246,0.2771561234123545
775.0,36,8,229.0,137850.6461114731,0.19455372615338187
780.0,34,13,234.0,130803.88698375638,0.1933004103874196
785.0,36,17,257.0,132255.14094201542,0.1674497323946429
790.0,33,16,248.0,150980.56154506275,0.13709874738970534
795.0,30,19,225.0,164975.31357810285,0.1818028691206026
800.0,36,12,260.0,136804.31609163672,0.16470995853035456
805.0,35,10,256.0,171303.18077585526,0.23175507287304523
810.0,31,13,268.0,150990.43530250803,0.22772232024745415
815.0,37,16,290.0,111664.21836750873,0.15391132736506621
820.0,37,16,277.0,140165.97971822444,0.12884874947588734
825.0,35,15,276.0,205160.01709314596,0.2100052928922783
830.0,37,11,288.0,125384.40046168045,0.1940633469174865
835.0,35,8,277.0,133073.57586114775,0.18425292883549843
840.0,32,13,291.0,128589.43929289415,0.2136797694211655
845.0,41,16,316.0,143311.3720822887,0.17295383834068584
850.0,40,18,295.0,171702.5445901762,0.18926213897611727
855.0,42,18,268.0,151314.8969636651,0.16650583569381672
860.0,43,12,293.0,162836.79231337362,0.17359530235683374
865.0,39,11,281.0,133004.26257637562,0.18114242757072768
870.0,42,16,300.0,168624.37124939822,0.20248570551112044
875.0,42,16,315.0,136794.90067858814,0.15171191121490588
880.0,42,20,281.0,162780.20347280847,0.17317264874920577
885.0,44,20,292.0,178066.50635420767,0.1676459618210494
890.0,46,14,333.0,169027.79800138393,0.1626805127986548
895.0,45,15,332.0,158784.4478732212,0.17278217112918462
900.0,43,19,354.0,173261.16613964507,0.17563749734051237
905.0,47,15,380.0,132996.78164680192,0.12839541721866435
910.0,41,18,340.0,165063.68445993977,0.14252859744990656
915.0,40,19,331.0,154847.55605430505,0.17528522105699687
920.0,49,13,380.0,153520.0577129621,0.13253074410725976
925.0,47,14,383.0,207339.3374686506,0.2020368220170233
930.0,46,21,387.0,148395.20324906506,0.18426348494025713
935.0,50,18,424.0,146892.48717898355,0.12623985561015824
940.0,51,22,414.0,169993.25270234345,0.14024046653789857
945.0,51,19,385.0,199906.6415647344,0.15735857485103258
950.0,53,13,415.0,166544.3363152086,0.1463560477986316
955.0,52,14,393.0,191855.05281685677,0.17049336939875218
960.0,54,23,387.0,182357.34207604645,0.1629155784808597
965.0,59,20,429.0,177906.32943042484,0.14002575158942626
970.0,58,21,426.0,200379.0359698663,0.165636750989282
975.0,57,20,412.0,207563.6388656367,0.1644935747832026
980.0,58,20,464.0,175316.9580933939,0.12255141191350748
985.0,56,20,483.0,189625.2132473617,0.11944270147288831
990.0,62,26,490.0,212240.46548336165,0.13383281573798966
995.0,63,22,540.0,186362.22472188034,0.14896110795248368
1000.0,63,20,530.0,184860.8383533158,0.12036593548668424
1005.0,67,30,535.0,190044.80480333182,0.1011816611466429
1010.0,71,25,599.0,212907.71736373054,0.11761688239785854
1015.0,69,21,607.0,196975.5910503948,0.10940856850533806
1020.0,71,25,607.0,236659.10038482715,0.11506360926182223
1025.0,70,20,658.0,208665.79977721145,0.12766097503050472
1030.0,69,17,647.0,192682.99097045502,0.11689831079944506
1035.0,72,27,664.0,203858.65011534392,0.11568394553513887
1040.0,71,25,718.0,204761.8859355284,0.09576428987782253
1045.0,70,25,739.0,225239.74857885676,0.10363192211230893
1050.0,70,32,752.0,217296.7884058382,0.11166774559268844
1055.0,76,21,812.0,208166.89833423428,0.10290744241210838
1060.0,74,22,782.0,218429.25549892132,0.11547926888794026
1065.0,75,28,743.0,218915.80603558634,0.11207248423033782
1070.0,78,28,813.0,212380.71551816637,0.10372294476034588
1075.0,75,28,830.0,232849.53914402006,0.10953168267842552
1080.0,79,35,841.0,235915.33452805784,0.09747523763758296
1085.0,80,28,910.0,219319.3570273185,0.09370598362114807
1090.0,76,26,907.0,221962.78234319814,0.11253630066853759
1095.0,75,25,857.0,213331.64325483888,0.10793891251694165
1100.0,85,27,922.0,214336.68661182906,0.09636682986777746
1105.0,86,26,911.0,239162.71344482023,0.09961315302642257
1110.0,84,28,881.0,250488.31059185448,0.09309489763977276
1115.0,85,26,937.0,238342.08922679804,0.09577434354440383
1120.0,81,23,921.0,234061.95341855954,0.09837231209782324
1125.0,82,30,874.0,238713.55674037224,0.10022850634728447
1130.0,82,21,929.0,218943.77984128057,0.104072181091956
1135.0,80,23,918.0,223085.18281224262,0.09579990076866456
1140.0,79,27,880.0,238629.3530911457,0.08840452414590855
1145.0,83,23,908.0,236787.3754323345,0.09371941935159321
1150.0,78,19,851.0,213731.28123424202,0.10310686043612395
1155.0,81,27,847.0,246018.43184928384,0.1119316416970411
1160.0,81,20,865.0,216317.23469654686,0.10530422274215301
1165.0,78,22,861.0,207620.9097769434,0.10677326674844795
1170.0,83,33,832.0,239891.62027540183,0.08933499170832221
1175.0,83,25,900.0,217376.97889002025,0.09525845733460528
1180.0,78,19,892.0,222349.60005742955,0.10408247445392549
1185.0,81,26,841.0,226877.8891481664,0.09802946401203878
1190.0,81,23,899.0,216619.0271366871,0.10371879103037981
1195.0,79,24,898.0,240658.19661670603,0.10646476099604091
1200.0,81,28,880.0,236139.1959821435,0.10166678962610141
1205.0,83,26,947.0,228106.1889016987,0.10163712601446044
1210.0,80,22,933.0,213583.96858720083,0.09069368468432
1215.0,79,28,882.0,223899.74440938848,0.10981804838270322
1220.0,78,24,923.0,199959.99608037842,0.10448537454266302
1225.0,75,25,901.0,200466.06673090297,0.08814081259606311
1230.0,81,33,881.0,234890.1960300475,0.08271504660150965
1235.0,79,22,942.0,222038.77330021976,0.09116730535091815
1240.0,75,22,918.0,224303.85329116543,0.10521258404605158
1245.0,75,26,874.0,228034.1973628327,0.09796956158561711
1250.0,77,26,940.0,207664.2488337138,0.09953543910893198
1255.0,73,23,938.0,212038.6345541435,0.10541628903118602
1260.0,77,28,927.0,242099.8926021054,0.11831809972040208
1265.0,76,23,969.0,213333.01171635336,0.10958746089703521
1270.0,73,21,918.0,195962.5709557639,0.10871145164631348
1275.0,76,28,894.0,203087.71305472718,0.0947007976107113
1280.0,78,26,959.0,209823.98667090846,0.08955465916342095
1285.0,76,24,951.0,235956.0754272491,0.11240582734401773
1290.0,78,27,912.0,223572.55119166512,0.09712649019104808
1295.0,77,21,969.0,221073.04128347762,0.10415046656076589
1300.0,77,23,955.0,216629.63933302,0.10236306666039209
1305.0,73,25,887.0,204829.3663506501,0.09874903280806334
1310.0,75,25,944.0,206171.50653998522,0.09523929708432763
1315.0,72,26,958.0,206705.33429530857,0.09679852024114856
1320.0,69,27,981.0,227166.36536215554,0.10065179544425838
1325.0,70,25,993.0,202460.87894130626,0.10196283937297743
1330.0,64,22,958.0,185948.33309434017,0.09836531381062692
1335.0,62,27,887.0,178594.42000127683,0.1060219424453291
1340.0,65,22,942.0,177858.82687984462,0.10426731967695503
1345.0,66,20,936.0,200416.1556746779,0.11983892753664846
1350.0,70,24,926.0,201973.9680544297,0.11416851659917523
1355.0,67,20,936.0,190064.22355694007,0.11246891621445489
1360.0,65,20,890.0,202117.4770064746,0.11802357271921686
