step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,-1.0,1,0.0,2624.722222222222,0.0
10.0,-0.7757721443199258,1,0.0,19970.790901925233,0.2242278556800742
15.0,-0.3972335218071974,0,0.0,50729.611916822825,0.6027664781928026
20.0,-0.2570218977611408,0,0.0,51455.10132737721,0.7429781022388592
25.0,-0.280551758806201,0,0.0,50632.93212382492,0.719448241193799
30.0,-0.46668289901639104,1,4.0,41913.46042863373,0.533317100983609
35.0,-0.46981883615090125,0,4.0,47165.1780188684,0.5301811638490987
40.0,-0.5078045766603436,1,4.0,16287.74894798757,0.4921954233396564
45.0,-0.7659472838123504,4,17.0,39557.71287813563,0.23405271618764953
50.0,-0.4576219738500339,1,10.0,65998.59877246973,0.5423780261499661
55.0,-0.2741645174167211,0,2.0,42120.327985742144,0.7258354825832789
60.0,-0.622986186537299,1,4.0,30228.42733223851,0.3770138134627011
65.0,-0.617257680300919,1,5.0,41769.000813318584,0.382742319699081
70.0,-0.4223911807571893,1,8.0,54950.340869788764,0.5776088192428107
75.0,-0.48032774237733045,2,15.0,28025.2669575738,0.5196722576226696
80.0,-0.6059789355215439,0,3.0,18279.360468396088,0.3940210644784561
85.0,-0.7527850308590419,1,1.0,29525.02292230659,0.24721496914095806
90.0,-0.7138353681003538,4,11.0,44334.27364072271,0.2861646318996462
95.0,-0.5342391013914545,0,8.0,53181.365512789394,0.4657608986085455
100.0,-0.4532224189399965,0,0.0,88434.72979454605,0.5467775810600035
105.0,-0.21723855319133334,0,0.0,84800.01523593812,0.7827614468086667
110.0,-0.4501258858144662,1,0.0,23801.272671041144,0.5498741141855338
115.0,-0.7508281171998843,2,2.0,39562.55460516338,0.24917188280011576
120.0,-0.6069474183739504,5,18.0,82524.69411816096,0.3930525816260496
125.0,-0.37393583971369104,1,19.0,43352.72719350825,0.626064160286309
130.0,-0.5216089944590594,2,7.0,37228.29955365246,0.47839100554094055
135.0,-0.7188293600137805,5,20.0,49429.348385533915,0.28117063998621955
140.0,-0.5296356555069519,1,19.0,65677.95537383344,0.4703643444930481
145.0,-0.3453218242691424,1,4.0,37486.18348673966,0.6546781757308576
150.0,-0.6326914535960773,3,9.0,41767.39048936077,0.36730854640392274
155.0,-0.4810090055057522,0,5.0,26751.08064526211,0.5189909944942478
160.0,-0.07396460650848613,0,0.0,27767.255734725637,0.9260353934915139
165.0,-0.5810872627063999,2,2.0,11962.943631833008,0.4189127372936001
170.0,-0.7748704227773312,0,0.0,19093.845297211745,0.22512957722266883
175.0,-0.5018367235303747,0,0.0,44714.357143623805,0.4981632764696254
180.0,-0.3061163346448431,0,0.0,38050.50617712724,0.6938836653551569
185.0,-0.08083062690322751,0,0.0,30608.251442244484,0.9191693730967725
190.0,-0.6700193646288355,3,0.0,12759.417240691637,0.32998063537116445
195.0,-0.7676735336100199,3,9.0,32892.8834320616,0.23232646638998009
200.0,-0.3585337006283543,0,5.0,51278.23180228434,0.6414662993716457
205.0,-0.3695563087670033,0,0.0,41610.90175778217,0.6304436912329967
210.0,-0.49772511851019385,0,0.0,30644.36889010988,0.5022748814898061
215.0,-0.6269194232458256,0,1.0,31342.31510346679,0.3730805767541744
220.0,-0.3081388997343051,0,0.0,53137.29570934768,0.6918611002656949
225.0,-0.5939785204356582,2,1.0,40596.56265977428,0.4060214795643418
230.0,-0.5577353927754527,0,2.0,55347.24875746753,0.44226460722454736
235.0,-0.4681231516502552,1,4.0,86293.22452743602,0.5318768483497448
240.0,-0.32397492098365055,2,14.0,52584.8381613895,0.6760250790163495
245.0,-0.614233885810642,1,0.0,36685.934769575746,0.3857661141893581
250.0,-0.6626087915284784,4,5.0,51792.921677728664,0.3373912084715216
