step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,-0.0,0,0.0,13698.276720111677,0.37538197030975157
10.0,-0.0,0,0.0,28554.173582206935,0.6626647365232367
15.0,-0.0,0,0.0,24866.565763845287,0.6619895344119857
20.0,-0.0,1,0.0,30627.15352247512,0.5244326243430014
25.0,-1.0,2,4.0,27592.39473482724,0.4789878170592475
30.0,-2.25,1,9.0,57870.64008119069,0.45113780278937127
35.0,-0.5,0,2.0,42378.0084489782,0.49491451615947935
40.0,-0.0,0,0.0,37198.32383455888,0.5225456279160359
45.0,-1.0,2,4.0,33784.07660851495,0.3605851240597021
50.0,-1.0,0,4.0,46713.91516192461,0.5305548632060455
55.0,-0.0,0,0.0,40836.27104221988,0.4822176532426459
60.0,-0.0,1,0.0,53159.37051564941,0.5401724901693314
65.0,-0.0,1,0.0,73818.84772208481,0.6115227811425493
70.0,-0.0,0,0.0,35587.72138263551,0.5607801632912757
75.0,-1.0,2,4.0,24742.417934253615,0.33696101016660923
80.0,-0.5,1,2.0,39327.3175201649,0.2856986575175494
85.0,-1.25,2,5.0,52598.428393883456,0.45914379897726465
90.0,-3.75,2,15.0,62139.61853158013,0.3584080081932641
95.0,-0.5,0,2.0,57174.760423699714,0.6996729766897788
100.0,-0.0,0,0.0,38508.15762458538,0.5551936395579048
105.0,-2.25,3,9.0,37144.69258893331,0.4431985100360047
110.0,-0.0,1,0.0,27866.873560918742,0.3677042434116973
115.0,-0.5,2,2.0,50098.88367268478,0.4109553674061682
120.0,-2.0,2,8.0,77505.69903259231,0.5861618354792264
125.0,-0.0,0,0.0,23935.804922902666,0.594203708728626
130.0,-2.0,3,8.0,40315.60074722404,0.41249634238413824
135.0,-6.5,5,26.0,36718.181831819245,0.26380727227917816
140.0,-8.25,2,33.0,24471.82683994335,0.3665890173831297
145.0,-3.5,0,14.0,42739.86411807386,0.40316670992192494
150.0,-0.75,1,3.0,49971.68444647029,0.46230377330968014
155.0,-0.0,0,0.0,43310.429117632906,0.7163455029170727
160.0,-0.0,0,0.0,18837.243887223918,0.5065430770997824
165.0,-1.0,3,4.0,30337.402748703007,0.33418586971188546
170.0,-0.0,1,0.0,56323.311865960146,0.39380467844905664
175.0,-0.0,0,0.0,79721.11115569591,0.5262155922880564
180.0,-0.0,1,0.0,55124.031979563384,0.629115368932554
185.0,-0.25,1,1.0,66508.99825423064,0.635666365829095
190.0,-3.25,4,13.0,35796.20169334224,0.4421125648291514
195.0,-8.0,5,32.0,27501.466261680485,0.15293137551505942
200.0,-7.25,2,29.0,42333.50225714175,0.20271521007176221
205.0,-0.0,0,0.0,66138.85293676336,0.5154595012501554
210.0,-0.0,1,0.0,50501.49665369596,0.7369167876457348
215.0,-0.0,2,0.0,42604.545852393654,0.5113181675966904
220.0,-1.75,3,7.0,59834.80798419656,0.4430791738964082
225.0,-6.5,6,26.0,77787.6295100759,0.4268911740127936
230.0,-6.0,2,24.0,30321.231786350138,0.39051960481731224
235.0,-2.25,4,9.0,33114.63666765895,0.2594367145688781
240.0,-8.0,6,32.0,53512.29658362062,0.27401275999591007
245.0,-7.25,0,29.0,53456.1284714124,0.3508803104866532
250.0,-0.0,1,0.0,66276.50620229334,0.55193701117461
255.0,-0.0,1,0.0,40265.36496702379,0.6549843525520407
260.0,-0.25,1,1.0,21060.658049063033,0.3429993002612805
265.0,-2.25,2,9.0,28373.590376133878,0.30577212018315103
270.0,-5.75,4,23.0,35250.55374673012,0.2499689105517822
275.0,-2.75,0,11.0,47666.20590522787,0.3147912983669821
280.0,-1.25,3,5.0,72411.8773600672,0.5176788984456752
