step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,0.0,0,0.0,16192.64404235718,0.18552664441022287
10.0,0.0,2,0.0,48547.8309419617,0.3905301343936867
15.0,-2.2785016768369846,0,0.0,50500.068639064135,0.46276256247686265
20.0,-12.26142099697011,0,0.0,76314.22423191484,0.48232144263380017
25.0,-8.180615835345844,3,4.0,110906.3804610613,0.5609679649450234
30.0,-10.104842790957303,6,22.0,77316.58160158867,0.4833394933040827
35.0,-20.05093768607391,1,17.0,67295.51407201882,0.35996128880048317
40.0,-8.191612835650774,2,6.0,105464.81710867259,0.39655735410092885
45.0,-8.567995042083092,6,33.0,97097.81926839064,0.5167663342456927
50.0,-39.60863923142277,1,34.0,43613.32611947826,0.3140698347659438
55.0,-7.055689841792688,3,16.0,83994.85206181923,0.3233361228253841
60.0,-3.8901040676828234,4,25.0,81717.95038537684,0.3734177399797091
65.0,-16.513593408538163,2,17.0,84783.68478553709,0.4321973282492241
70.0,-10.436503630417704,6,19.0,66299.51643673258,0.29027722742526274
75.0,-6.433534641313688,12,62.0,99589.22072719979,0.23608697958832145
80.0,-12.911376178972628,6,81.0,98155.31604457005,0.3292929955159897
85.0,-16.637130968376482,3,53.0,74706.73031947645,0.28943464975761357
90.0,-8.975445003452094,3,26.0,99805.8768617515,0.3634481932262754
95.0,-24.041449927489186,1,20.0,77197.97674427334,0.38322771081160284
100.0,-11.964943128961329,5,32.0,80818.79401936782,0.36759407614961304
105.0,-13.721621880825664,8,68.0,54359.58742090387,0.3008682987630739
110.0,-6.364801749433154,5,70.0,55698.64105190995,0.22009631051433387
115.0,-15.86444669361417,2,40.0,72037.09833402894,0.25524364810868
120.0,-10.005993466256188,3,18.0,110092.84373791183,0.2726576138232256
125.0,-13.20781066723496,4,18.0,77979.74195989645,0.28986519388522847
130.0,-10.371494049734862,5,29.0,77356.66837915491,0.33297317762225137
135.0,-6.830529073055489,9,52.0,107738.65627364727,0.3227432356188642
140.0,-27.976183465770788,2,49.0,90089.85220583841,0.27227297473519363
145.0,-13.747716678800076,2,10.0,131439.99388402884,0.385117195827486
150.0,-14.027872029038658,6,19.0,111749.85608718447,0.39043204256025354
155.0,-30.425586240915443,6,37.0,87281.43982256629,0.34105400253562196
160.0,-17.294689479648582,6,50.0,103581.5024705299,0.248078150075325
165.0,-7.35866932020398,10,72.0,132842.2650598574,0.29667018638200693
170.0,-27.07897270283154,5,81.0,98701.66613902333,0.30465950204095965
175.0,-18.64117480431608,8,67.0,100930.01096878634,0.25848776824851016
180.0,-7.689149953000601,15,87.0,103487.61775313863,0.19221807754891332
185.0,-16.204506701325624,11,110.0,134902.09621696168,0.21863933094969956
190.0,-17.76690993768867,8,99.0,140308.57070061218,0.34500554594370736
195.0,-24.41806842293922,11,89.0,106490.36380916764,0.2719196301585884
200.0,-31.08769767201102,6,99.0,117979.75510779116,0.2572819424859863
205.0,-20.347473624754414,9,87.0,117796.34740843288,0.22714249636556283
210.0,-16.92670459737851,11,109.0,102278.9341815957,0.24306305739763834
215.0,-20.724631258876407,12,134.0,76223.57808285303,0.15323908276872739
220.0,-9.415267060092702,16,131.0,111045.37428608986,0.14108097258009414
225.0,-5.004057468195199,12,159.0,159139.36641939974,0.2330995937284813
230.0,-42.145729034805086,10,182.0,102093.2384368411,0.28914609550789444
235.0,-23.6870275631695,10,166.0,131447.09235398003,0.22334353499407364
240.0,-13.083660044158552,11,173.0,131824.43257510156,0.27289261225065986
245.0,-33.865590129262614,9,191.0,101665.6637348197,0.18413141407453903
250.0,-13.057643782550022,9,164.0,106203.96132972196,0.19394246757016645
255.0,-13.447901846753119,11,174.0,115202.72043812515,0.24071363425413492
260.0,-20.092334565151166,13,194.0,97207.01168474654,0.15928135095500753
265.0,-12.512631798995775,15,181.0,131486.95743953422,0.18467221332978423
270.0,-10.875564155679733,13,175.0,161412.07382711867,0.2847302580798052
275.0,-38.363241365607436,9,165.0,105541.76203863739,0.2753528204849616
280.0,-24.60072952245839,5,132.0,137092.63617657335,0.25128326529610984
285.0,-15.789911191200023,9,121.0,131208.31464327892,0.2158308188569456
290.0,-34.596717749504975,9,127.0,115079.25563039226,0.2395187610143653
295.0,-25.90071680072367,11,123.0,128493.2045924915,0.21008131846674208
300.0,-15.452374570060176,12,125.0,115745.12402719237,0.2071375459604162
305.0,-18.78433848246209,11,148.0,134042.4435617267,0.2543579675325255
310.0,-19.05326371535068,11,135.0,101471.47505549829,0.16382704259446607
315.0,-11.267683875428283,19,129.0,133753.32191987702,0.14882750809310846
320.0,-21.672963805547802,7,160.0,113545.82506642051,0.20105263678284488
325.0,-14.578690069439077,7,135.0,134138.1043348226,0.27663411709360275
330.0,-17.902648156746192,12,163.0,119468.3463695236,0.2835720058257758
335.0,-28.739768361348172,11,182.0,99172.00696003293,0.21087823894111585
340.0,-11.872783403900689,10,176.0,144398.35727798997,0.23131335711818954
345.0,-19.11121425851797,12,154.0,121442.14168320723,0.2628175207662398
350.0,-26.507068025259684,11,180.0,125445.23015256398,0.200921852635221
355.0,-20.322338406362277,6,167.0,124498.59379475004,0.21948333680879345
360.0,-11.39902044523551,12,164.0,118489.28061244384,0.2440712525820968
365.0,-19.043036323666122,13,186.0,119649.38106500296,0.2900845825833152
370.0,-24.234833309812657,9,160.0,101005.40062802724,0.2054861980404814
375.0,-7.806488258546541,10,129.0,101906.55746654652,0.1888261275043274
380.0,-19.300839646803396,11,133.0,116075.0034894151,0.18051073623048033
385.0,-11.043242883807498,10,133.0,111016.09153499246,0.20006133977523807
390.0,-10.348948339927652,14,171.0,144982.81155270615,0.2607844110441536
395.0,-28.363449715071145,9,171.0,88874.91289207028,0.24627417291554496
400.0,-14.844417880510505,8,146.0,94642.07091721975,0.1779047037721792
405.0,-12.274323465042514,10,107.0,114610.52702070771,0.18594467595120365
410.0,-16.034638217186973,8,124.0,105169.12004800091,0.17155978803204286
415.0,-14.25939443508929,10,130.0,135688.84035679756,0.21180583951465914
420.0,-13.843495205130212,13,163.0,169861.87216419145,0.32965911403197157
425.0,-36.0783520455174,12,174.0,99930.64923233379,0.25326513002795004
430.0,-15.856210046693858,11,158.0,126355.76118561479,0.2170024112472641
435.0,-14.86533822820029,13,141.0,140198.9967326283,0.23245096722735628
440.0,-23.467724374011947,12,177.0,90823.96470635022,0.1908633323814438
445.0,-14.396305516702752,8,173.0,82873.75905392783,0.16963433098389225
450.0,-7.794168871405054,15,160.0,102940.90570832347,0.13305961441664452
455.0,-12.28100152497075,10,181.0,98297.9754712588,0.15936863618653244
460.0,-6.946464514373282,9,167.0,155422.98557186726,0.2749586859509656
465.0,-14.004681548335052,13,154.0,122435.01692371334,0.28800787082990864
470.0,-23.151640862095363,6,154.0,90373.27424079763,0.25453990016138417
475.0,-13.660993254163923,6,104.0,121493.73869238803,0.3238357661487066
480.0,-18.451606503697434,10,100.0,135524.97148802868,0.30346364901333533
485.0,-26.64102567717643,9,123.0,120124.7983037175,0.27968882651127414
490.0,-16.75131529471662,10,130.0,131540.97388448237,0.27001775376852405
495.0,-19.10186931347742,13,152.0,140440.572769645,0.26872946158831856
500.0,-33.93343861697179,9,168.0,89537.76109392883,0.16781675521377853
505.0,-17.811862362997942,7,156.0,130762.49471956957,0.19826899014999733
510.0,-15.59053142400743,10,141.0,138716.4381889396,0.24462320119392633
515.0,-33.97622654139945,12,159.0,127832.4170939321,0.27079260037171526
520.0,-20.16769239856665,13,143.0,117236.05752459756,0.20231247974534905
525.0,-13.675855902087694,13,174.0,121177.24745718607,0.21344229630217407
530.0,-23.055188979283745,8,192.0,149226.70805115651,0.26508280404285156
535.0,-29.90853232059912,5,156.0,112306.5573591708,0.2846694750098784
540.0,-26.173197788472464,13,149.0,120954.27611142164,0.21529970537100226
545.0,-26.950018573080193,11,168.0,129483.91913052225,0.2149522550133757
550.0,-25.078083173251898,12,164.0,115487.93500313892,0.1764345917324999
555.0,-18.566669698002503,10,158.0,155216.77974610828,0.21271962895368302
560.0,-24.130216463513737,7,163.0,155005.86876589677,0.25384983939306005
