step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,-11568.830887063634,1,0.0,11568.830887063634,0.10404925893360317
10.0,-31957.94448636542,0,0.0,31957.94448636542,0.30585983486383816
15.0,-75007.11462275492,1,0.0,75007.11462275492,0.526698250826599
20.0,-84289.38695009353,0,0.0,84289.38695009353,0.6456752974283135
25.0,-83678.63853150804,3,2.0,83678.63853150804,0.5485386959511513
30.0,-49339.40349991666,2,10.0,49339.40349991666,0.5380541185077912
35.0,-48961.15735573808,2,3.0,48961.15735573808,0.30944764758055315
40.0,-90667.07708546623,2,5.0,90667.07708546623,0.3669058594845141
45.0,-138340.9109820454,3,20.0,138340.9109820454,0.5669803395963945
50.0,-71343.87319334621,1,21.0,71343.87319334621,0.46570129711021585
55.0,-52779.20474040188,2,8.0,52779.20474040188,0.41293761941522134
60.0,-44978.21152633031,4,23.0,44978.21152633031,0.4362360341591232
65.0,-33771.99664065656,3,16.0,33771.99664065656,0.27747081341723995
70.0,-42614.27549947295,5,18.0,42614.27549947295,0.14427858925056755
75.0,-85323.9272475325,6,46.0,85323.9272475325,0.2766327895388388
80.0,-82704.43506160864,0,38.0,82704.43506160864,0.4528706874654719
85.0,-93982.89370563629,1,0.0,93982.89370563629,0.38382604323987357
90.0,-141101.03781738164,2,6.0,141101.03781738164,0.518909484928773
95.0,-93321.45501285122,1,5.0,93321.45501285122,0.49463029511358125
100.0,-61672.1455536127,5,17.0,61672.1455536127,0.38676479135327424
105.0,-99742.73763944377,8,44.0,99742.73763944377,0.31850460400840813
110.0,-112729.62916123267,3,43.0,112729.62916123267,0.385633862869374
115.0,-86117.80074192601,5,20.0,86117.80074192601,0.31112434418344925
120.0,-134905.9785750765,7,37.0,134905.9785750765,0.4334730208966708
125.0,-86658.92332340892,4,44.0,86658.92332340892,0.4379056947660657
130.0,-90246.40704255537,4,27.0,90246.40704255537,0.35111158564630485
135.0,-62168.70398985892,8,42.0,62168.70398985892,0.2274631604508518
140.0,-90427.5936911002,6,59.0,90427.5936911002,0.24570571436595495
145.0,-105130.29385243083,3,34.0,105130.29385243083,0.38589574348154776
150.0,-89708.89960574292,4,29.0,89708.89960574292,0.4669058329234169
155.0,-57808.28504711701,5,30.0,57808.28504711701,0.2491394391613393
160.0,-100572.17468912948,5,31.0,100572.17468912948,0.3482186826565308
165.0,-45530.81054083517,7,55.0,45530.81054083517,0.22059896592412542
170.0,-88161.47787145473,8,59.0,88161.47787145473,0.20106830346321763
175.0,-118625.24388554084,1,37.0,118625.24388554084,0.36728488575971624
180.0,-102519.70861861849,3,23.0,102519.70861861849,0.4497114027348979
185.0,-84172.79865123803,2,15.0,84172.79865123803,0.32479729757409914
190.0,-122504.82009896182,5,18.0,122504.82009896182,0.32774861444447406
195.0,-116658.63090918044,11,57.0,116658.63090918044,0.3467934876018287
200.0,-100234.52037746407,6,72.0,100234.52037746407,0.320359145393763
205.0,-89065.00489501382,6,41.0,89065.00489501382,0.2450986111707082
210.0,-88358.41750962636,8,54.0,88358.41750962636,0.30077179083867134
215.0,-110714.00951271443,6,61.0,110714.00951271443,0.23712017422284337
220.0,-129827.43472448438,7,55.0,129827.43472448438,0.29607011370702796
225.0,-143116.22125005233,8,61.0,143116.22125005233,0.3283369709072386
230.0,-138245.74107930227,4,58.0,138245.74107930227,0.33549660760805483
235.0,-126419.44190231124,6,35.0,126419.44190231124,0.33474126294202194
240.0,-111337.17790745564,12,67.0,111337.17790745564,0.2860086099177516
245.0,-129162.12601319837,14,117.0,129162.12601319837,0.2075606362438343
250.0,-97331.01070992857,13,132.0,97331.01070992857,0.22911638721878264
255.0,-105761.22418928849,12,140.0,105761.22418928849,0.18793625064213143
260.0,-110767.59018729013,8,163.0,110767.59018729013,0.19420713355453836
265.0,-119703.88672800906,8,125.0,119703.88672800906,0.24773761610124007
270.0,-132400.9001497107,10,142.0,132400.9001497107,0.2856039742808276
275.0,-127482.52166283458,10,149.0,127482.52166283458,0.24705329469328555
280.0,-148444.6662050231,13,139.0,148444.6662050231,0.2520931097221381
285.0,-143603.53652826234,15,155.0,143603.53652826234,0.26468152148599366
290.0,-130372.36079244624,8,175.0,130372.36079244624,0.2487102014954181
295.0,-129470.19270426076,7,164.0,129470.19270426076,0.19314018329425917
300.0,-123668.12579336595,12,160.0,123668.12579336595,0.22612932678017725
305.0,-104484.3007002393,12,179.0,104484.3007002393,0.18400719758262932
310.0,-112054.92015718517,12,168.0,112054.92015718517,0.14522667719756172
315.0,-134871.7431416235,14,167.0,134871.7431416235,0.17404394865883763
320.0,-122764.90354577539,12,199.0,122764.90354577539,0.18088111750221
325.0,-190735.8120123579,8,192.0,190735.8120123579,0.26222152160666706
330.0,-171545.06234999635,14,182.0,171545.06234999635,0.32048775788448364
335.0,-110672.87346678265,12,201.0,110672.87346678265,0.23375985476122343
340.0,-130985.31013348333,14,166.0,130985.31013348333,0.17356242244346842
345.0,-156416.61668014363,17,184.0,156416.61668014363,0.1991836664607762
350.0,-122241.15206283303,14,218.0,122241.15206283303,0.17952405913456773
355.0,-133412.11950800294,11,205.0,133412.11950800294,0.16127507689815548
360.0,-181936.24700726205,18,203.0,181936.24700726205,0.20786679343519487
365.0,-129986.96149109477,13,234.0,129986.96149109477,0.2126220987607944
370.0,-151589.17103814174,13,228.0,151589.17103814174,0.19762749593185094
375.0,-151818.4048602913,18,229.0,151818.4048602913,0.1570452088407982
380.0,-142749.46551335888,14,260.0,142749.46551335888,0.16568334668721255
385.0,-167585.38117769163,13,243.0,167585.38117769163,0.22742290348241445
390.0,-139704.77280689546,17,244.0,139704.77280689546,0.2184529820106326
395.0,-127850.74279216904,12,256.0,127850.74279216904,0.16277758490696834
400.0,-143694.2683027282,16,241.0,143694.2683027282,0.17435283863224857
405.0,-140460.953120418,17,247.0,140460.953120418,0.17968290728534744
410.0,-113930.32456689801,13,273.0,113930.32456689801,0.15708362896600406
415.0,-146960.83957525034,10,242.0,146960.83957525034,0.21179815283527512
420.0,-140173.6330293193,14,234.0,140173.6330293193,0.21517833819976864
425.0,-115885.81883588001,16,272.0,115885.81883588001,0.17209799662119174
430.0,-134806.70167404012,14,274.0,134806.70167404012,0.1551544473434922
435.0,-162776.64076097164,17,262.0,162776.64076097164,0.2412801603475348
440.0,-121186.72995035547,12,280.0,121186.72995035547,0.196351486907133
445.0,-167246.55982156738,13,259.0,167246.55982156738,0.1878866588017228
450.0,-136345.45591705566,14,251.0,136345.45591705566,0.1671905325489995
455.0,-156085.73907395868,14,262.0,156085.73907395868,0.2013406035886052
460.0,-131891.7608049722,16,256.0,131891.7608049722,0.17305443358748296
465.0,-125165.1238266878,17,232.0,125165.1238266878,0.13067930713102685
470.0,-154095.9617193704,17,266.0,154095.9617193704,0.1867039245622073
475.0,-138525.14857097866,14,252.0,138525.14857097866,0.19619913989715052
480.0,-141580.2813735282,22,283.0,141580.2813735282,0.16247670370162157
485.0,-112311.18489003387,17,324.0,112311.18489003387,0.10352356817918648
490.0,-124832.6992192601,15,327.0,124832.6992192601,0.1176553575246819
495.0,-138917.7189670116,17,311.0,138917.7189670116,0.1657281863478731
500.0,-118622.33535967181,10,324.0,118622.33535967181,0.1954401558442252
505.0,-108325.71566020475,14,307.0,108325.71566020475,0.16884830173384688
510.0,-134515.39177075165,18,325.0,134515.39177075165,0.18436121180791215
515.0,-143582.3741443069,15,361.0,143582.3741443069,0.1663273393158417
520.0,-151685.16629217297,14,329.0,151685.16629217297,0.22074063557921922
525.0,-138050.87837152864,11,289.0,138050.87837152864,0.22508893999613067
530.0,-134375.58566508946,9,290.0,134375.58566508946,0.20624501959524694
535.0,-121424.98820381357,12,279.0,121424.98820381357,0.2067721760872855
540.0,-113226.26594532665,18,271.0,113226.26594532665,0.13686700243305952
545.0,-121094.8129334126,16,311.0,121094.8129334126,0.13512898759709094
550.0,-135077.30537469024,8,293.0,135077.30537469024,0.16866386001407246
555.0,-118796.63229802244,12,273.0,118796.63229802244,0.2015750765815217
560.0,-105347.7493857502,9,279.0,105347.7493857502,0.19827264512137194
565.0,-102452.79312414551,11,250.0,102452.79312414551,0.146403863497102
570.0,-112488.52499361162,18,235.0,112488.52499361162,0.11422984543489555
575.0,-121650.39054487187,11,258.0,121650.39054487187,0.1685649058863295
580.0,-146131.91435288236,10,242.0,146131.91435288236,0.20196731632486475
585.0,-129996.13817664198,9,261.0,129996.13817664198,0.23801810411015692
590.0,-112903.47679782097,10,272.0,112903.47679782097,0.22544636020287392
