step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,3,0,0.0,6770.923760418793,0.11213918009300962
10.0,6,0,0.0,37666.930982753365,0.396924904474757
15.0,9,0,0.0,66370.95235437108,0.6096601657198902
20.0,13,2,0.0,57657.02165709367,0.4993372016891805
25.0,17,1,1.0,60525.55488651293,0.28711551548925457
30.0,23,6,14.0,122372.17925024162,0.3609379530262459
35.0,24,1,13.0,119476.16820324089,0.47625591942993056
40.0,22,2,1.0,81245.94189974583,0.43889763065941545
45.0,13,3,7.0,131987.77453528755,0.5133124005584159
50.0,12,2,9.0,82474.75630862429,0.410833388404866
55.0,9,3,11.0,90779.33269748754,0.4220082865027663
60.0,6,7,35.0,61120.85595735973,0.3998267151215213
65.0,6,5,44.0,47422.92096518906,0.2792001456815003
70.0,6,6,32.0,77645.19417641147,0.285730163552366
75.0,2,5,30.0,60436.54087840663,0.3121558889667986
80.0,8,2,22.0,74358.07841143075,0.3897837602181873
85.0,10,3,12.0,80935.46043608787,0.4080705024537323
90.0,12,3,22.0,84230.09183734906,0.35299425279934316
95.0,11,1,20.0,81892.09867184053,0.3429486373122073
100.0,15,3,10.0,117623.92580845178,0.47758861775760314
105.0,20,5,29.0,70577.7836257944,0.3705537896681044
110.0,24,3,31.0,66617.86089346504,0.21075238291562437
115.0,17,3,17.0,117764.86319877137,0.3088004733741923
120.0,15,6,32.0,96013.46216859475,0.3553984240639675
125.0,17,1,25.0,89667.4448704815,0.32219173048794586
130.0,15,4,14.0,105776.18695138703,0.3084835606584785
135.0,18,8,45.0,94220.7209359107,0.35069934824944066
140.0,19,7,56.0,84382.10643957947,0.24702297404912266
145.0,17,5,62.0,89067.08300387392,0.23705060303074046
150.0,15,8,66.0,123703.11844035448,0.3442394221431336
155.0,20,4,72.0,122848.71160148762,0.34372263512757406
160.0,18,6,67.0,83755.75201997306,0.2841352921837291
165.0,17,7,70.0,83607.95167087611,0.20611570610331964
170.0,18,5,65.0,107467.08680980225,0.2726968470281166
175.0,15,3,31.0,92185.81674318298,0.3530776395750555
180.0,14,11,55.0,97310.43354185713,0.31044806718066065
185.0,10,5,74.0,80450.55062572099,0.30764068708687187
190.0,9,5,54.0,85521.97873506023,0.3149220032625055
195.0,8,6,60.0,67660.35356659027,0.2938542687007305
200.0,8,3,49.0,65823.56767046984,0.34608477450212305
205.0,9,4,37.0,75436.8450223151,0.2785809119700614
210.0,9,7,55.0,70103.40199657793,0.2828374148295294
215.0,17,8,68.0,85238.97801597118,0.24427010055349196
220.0,15,2,59.0,88982.86650577652,0.32972537602384355
225.0,17,8,41.0,110697.86288954271,0.33523117314906925
230.0,20,3,47.0,117569.05123947168,0.4040335576967362
235.0,16,4,45.0,104915.59543120557,0.38789744718398117
240.0,15,9,65.0,99056.76639095583,0.3667820032745645
245.0,12,4,68.0,72753.21445869202,0.3712406460047974
250.0,10,4,42.0,84820.50413109818,0.3086523000532572
255.0,11,12,54.0,71244.51366986072,0.21663330313694643
260.0,21,7,79.0,110688.25932160609,0.2206708131584693
265.0,19,5,60.0,119978.1971957887,0.2904833065063821
270.0,19,7,48.0,130717.87070210454,0.36985769651438827
275.0,22,2,47.0,78022.13511881384,0.35081268150555434
280.0,19,5,39.0,82240.06816894714,0.2894800424577234
285.0,16,12,72.0,92084.40888510158,0.2263930073665544
290.0,16,7,92.0,85522.29034741437,0.24211900765850516
295.0,17,5,70.0,97950.27814643335,0.2874547491288692
300.0,13,6,45.0,104710.07959735458,0.32651158300820166
305.0,16,3,40.0,86640.73991805715,0.27429587276632555
310.0,10,5,29.0,73400.9832922848,0.2482247780008567
315.0,11,12,67.0,78155.98723278182,0.22373789595349322
320.0,12,7,78.0,83477.02692130495,0.28395130239676064
325.0,9,3,54.0,82098.33677130852,0.2696061223929456
330.0,5,5,43.0,68189.42759350316,0.4073354459220328
335.0,8,0,36.0,40040.80068009178,0.38568966084657275
340.0,5,6,29.0,48557.857042619304,0.26301417453940007
345.0,9,10,73.0,52253.56779544594,0.16593849939427105
350.0,11,4,80.0,71717.57690096083,0.2239906381468778
355.0,11,2,43.0,82694.89307813805,0.34829038416918784
360.0,13,1,13.0,103516.82528510744,0.39980365535245577
365.0,13,1,3.0,125290.80811178873,0.5132844929422989
370.0,16,4,12.0,119525.26098589445,0.553295117410345
375.0,15,5,31.0,93137.36220696589,0.47506551773834466
380.0,17,3,35.0,39241.544871882295,0.23530146695815796
385.0,16,9,44.0,120468.78279479286,0.24522121176573408
390.0,16,8,69.0,113967.28168878487,0.31413218018247246
395.0,18,5,68.0,111492.52206645509,0.3229987664449255
400.0,17,6,40.0,118941.73452112987,0.3316243146453982
405.0,21,4,40.0,91542.06766312246,0.32308216800680534
410.0,21,3,27.0,122220.16046899131,0.32958522469748097
415.0,17,7,34.0,102271.17221754145,0.3560352515660234
420.0,17,14,82.0,83679.77598950783,0.24379964856607103
425.0,22,10,111.0,85530.2318251139,0.168812246699306
430.0,24,9,100.0,136978.75735959507,0.23097975680956107
435.0,24,9,86.0,147853.09386611867,0.319748125320511
440.0,26,6,96.0,105227.55103673908,0.2738382524467986
445.0,26,11,104.0,96966.87036965156,0.18821184866279167
450.0,27,10,114.0,125166.22826680004,0.18614601489128313
455.0,30,7,116.0,125950.75940082004,0.25694456380808955
460.0,28,6,78.0,111051.87844086107,0.24995379028398493
465.0,27,9,73.0,153347.91555735364,0.25519191219757675
470.0,26,8,82.0,111033.33470042702,0.22721780701188668
475.0,24,9,94.0,105813.17893169011,0.19394863629912495
480.0,28,15,120.0,107652.21243706741,0.191917541332727
485.0,27,15,156.0,102615.95375717731,0.1690052692629429
490.0,27,12,162.0,98740.51627371933,0.12974413440473667
495.0,24,11,154.0,133491.04978774648,0.21254205006778285
500.0,22,6,163.0,103756.78763825759,0.28685275403765936
505.0,20,9,150.0,88773.46784855124,0.20240721003514034
510.0,24,16,168.0,100465.74701188251,0.16043480902367463
515.0,25,13,197.0,106859.58486089036,0.18456171531678778
520.0,24,9,174.0,121906.1698331274,0.2189707513958595
525.0,21,11,135.0,120364.12033065765,0.2734405219907768
530.0,23,8,150.0,102594.56429936178,0.22020472363528842
535.0,23,8,137.0,118717.47777522015,0.2131170766346261
540.0,21,10,142.0,130931.26619555241,0.2650075225928464
545.0,23,6,130.0,96500.5658117219,0.25603594647511047
550.0,20,5,69.0,95681.32777767754,0.2149491144666354
555.0,22,10,59.0,136561.77540403785,0.27709096755240636
560.0,22,9,78.0,91948.16695067393,0.2583182484402064
565.0,16,9,87.0,149788.8382845698,0.30842955501991615
570.0,15,11,108.0,71238.89807063977,0.2381745877880564
575.0,21,12,139.0,72681.84972450226,0.15474493384945545
580.0,15,7,125.0,100361.27434812627,0.20930613662395897
585.0,11,9,120.0,116190.75990691377,0.3486862606771571
590.0,12,4,112.0,66838.82274844986,0.2666716579636038
595.0,13,8,78.0,99719.23619594408,0.26771907840921116
600.0,13,9,85.0,68962.21778112536,0.33067205781413744
605.0,15,6,94.0,83328.76879303345,0.3807917267238327
610.0,13,5,70.0,99059.86510100601,0.37907788600732983
615.0,12,7,64.0,71189.40569957341,0.3108468703365857
620.0,12,5,81.0,67428.48152913949,0.23697270259251327
625.0,16,7,83.0,75951.79253465869,0.22319456851989608
630.0,19,6,83.0,104635.39904782773,0.27577383273327094
635.0,21,3,65.0,89704.31583372728,0.35509404396696115
640.0,20,4,42.0,93338.60655271301,0.283733208961091
645.0,18,5,43.0,87714.9446340571,0.30367558567271263
650.0,20,7,50.0,120323.8388836962,0.291090774255749
