step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,-1,1,0.0,12918.090852642734,0.19039740799476076
10.0,0,0,0.0,35626.9650215065,0.43332767232544933
15.0,-1,1,0.0,58263.078306148294,0.38738535849228717
20.0,-1,1,0.0,97446.71212156379,0.43655357021929503
25.0,-1,1,4.0,74166.18729535486,0.4776757573396251
30.0,-4,4,12.0,96309.56487109893,0.47904646194989126
35.0,-3,3,11.0,86310.20846008057,0.38629841171337204
40.0,-3,3,10.0,73765.95931536503,0.2510760656593032
45.0,-7,7,35.0,120866.69230585644,0.3193980417065578
50.0,-7,7,47.0,121512.18285868276,0.34904791630693505
55.0,-2,2,40.0,82012.62753074832,0.31122195846131406
60.0,-5,5,33.0,110599.76398757363,0.35067104587848447
65.0,-2,2,42.0,76591.66588325499,0.3366227210291073
70.0,-5,5,47.0,68425.4128726217,0.2092982840380615
75.0,-11,11,79.0,96270.21778364049,0.20020355473534923
80.0,-7,7,92.0,133963.36149950404,0.23886679523416587
85.0,-9,9,97.0,148547.16275137238,0.384229279151641
90.0,-8,8,94.0,104720.8376243346,0.2958088505751749
95.0,-5,5,100.0,104936.56706808557,0.27759407684912113
100.0,-6,6,106.0,121320.88926588623,0.2567403708175907
105.0,-11,11,149.0,119100.06014299465,0.3305904105614756
110.0,-10,10,169.0,84247.77593686721,0.2387253007301425
115.0,-8,8,153.0,85299.23201736702,0.201191100296381
120.0,-9,9,134.0,99050.62700987115,0.22003679335139395
125.0,-3,3,142.0,142828.51011310518,0.2796388341070965
130.0,-7,7,134.0,136601.43922324828,0.345255605851391
135.0,-10,10,164.0,110353.29507087728,0.28387247324186876
140.0,-10,10,170.0,142078.9593282563,0.2846126952456284
145.0,-12,12,153.0,119230.15046501887,0.3186579282928402
150.0,-15,15,134.0,109083.43373801216,0.2027796920108031
155.0,-10,10,165.0,120909.87549425074,0.21100901299332003
160.0,-10,10,152.0,145167.28438488132,0.27247584114535284
165.0,-13,13,178.0,139908.71204866582,0.29677120115019895
170.0,-13,13,201.0,108001.02909042248,0.24070253439789074
175.0,-11,11,175.0,120957.34603441277,0.20169979480575942
180.0,-10,10,139.0,143739.4900785076,0.22757903893974013
185.0,-10,10,156.0,134308.17784721663,0.19193891323605605
190.0,-13,13,151.0,170338.4672873286,0.26208766490060365
195.0,-16,16,190.0,141741.71848437694,0.23310142601067052
200.0,-16,16,220.0,136072.8472709845,0.19143988526082487
205.0,-13,13,207.0,171985.69536759972,0.2096452043586012
210.0,-15,15,176.0,173885.01310126018,0.2641230794513061
215.0,-13,13,208.0,143136.57329269298,0.2058741309669198
220.0,-12,12,216.0,125872.95555149556,0.14865809937560107
225.0,-18,18,225.0,132807.85408927817,0.12009967878037696
230.0,-18,18,271.0,143608.79366207944,0.12083735515380384
235.0,-13,13,268.0,165704.8072234771,0.1753450621071954
240.0,-12,12,243.0,116707.78970350839,0.19959854741619404
245.0,-13,13,267.0,121215.6166519837,0.12780855771899063
250.0,-15,15,261.0,156409.1778253163,0.16687003529533653
255.0,-17,17,267.0,159651.67383908876,0.14879057983899574
260.0,-15,15,304.0,158241.26351868178,0.22586414618833017
265.0,-10,10,269.0,146109.95873848998,0.22971671375506034
270.0,-15,15,252.0,127366.60442637316,0.17356485685467493
275.0,-12,12,259.0,137363.809098592,0.1751861989022294
280.0,-13,13,249.0,152332.03146010183,0.19284197673626993
285.0,-18,18,243.0,139663.15574282047,0.16328100939507628
290.0,-14,14,278.0,149640.8345259689,0.161514064150573
295.0,-11,11,266.0,160207.69165976663,0.20413052734100873
300.0,-13,13,261.0,136350.2623425818,0.1978320457132153
305.0,-13,13,272.0,126998.28275270612,0.13570106808030263
310.0,-17,17,256.0,120917.56766758817,0.12652208003582158
315.0,-23,23,274.0,166777.6134274128,0.13952357599344875
320.0,-15,15,315.0,188021.20278250746,0.18270305335782322
