step_time,reward,total_stopped,total_wait_time,total_CO2_emission,average_speed
5.0,-0.0,1,0.0,12256.6458563158,0.09463824684511958
10.0,-0.0,1,0.0,41457.38866444287,0.2651248139654469
15.0,-0.0,2,0.0,93923.43739908261,0.4942877347478768
20.0,-0.0,2,0.0,99536.21452521664,0.5835251579142339
25.0,-0.0,0,0.0,90131.77027896878,0.6331156194478993
30.0,-1.0,2,4.0,87307.96603577165,0.5471409473275473
35.0,-2.0,2,8.0,45147.58914451547,0.41569351628066326
40.0,-2.75,4,11.0,53324.4949825035,0.2390718965657777
45.0,-7.75,7,31.0,72982.29415191925,0.269445704431922
50.0,-5.75,1,23.0,81209.87443140517,0.3132162976891191
55.0,-3.0,3,12.0,56815.782963223224,0.35737189524067026
60.0,-8.25,5,33.0,99561.14695131232,0.3116888133806012
65.0,-10.0,2,40.0,92937.21013698666,0.4039316460089965
70.0,-4.75,1,19.0,103396.3773812226,0.4430197776807969
75.0,-3.75,3,15.0,99957.57946666356,0.4254005880697559
80.0,-7.0,4,28.0,71625.43659428095,0.3091934902389489
85.0,-8.0,3,32.0,84078.02810855112,0.3702629393116743
90.0,-9.5,5,38.0,55928.828298599394,0.42600544267811535
95.0,-10.5,4,42.0,42817.409313646094,0.15074565759788433
100.0,-9.75,6,39.0,78664.91233085969,0.22530243220501553
105.0,-11.25,6,45.0,119030.54332249516,0.37915932902670685
110.0,-8.0,2,32.0,68984.23086481716,0.4401508470151319
115.0,-2.75,4,11.0,89049.35539312688,0.32289614648868525
120.0,-7.25,6,29.0,89170.82574914467,0.33721490795727305
125.0,-8.0,5,32.0,87788.43698627857,0.31572832586547284
130.0,-4.5,2,18.0,90260.05848529779,0.4106186593758437
135.0,-5.75,4,23.0,105190.17475612447,0.4154714822522017
140.0,-3.25,1,13.0,94040.4717502021,0.45831166660304573
145.0,-2.5,4,10.0,61270.84572662411,0.3574515139131366
150.0,-8.75,7,35.0,92382.13209266025,0.3430258328974563
155.0,-11.0,4,44.0,103647.90808178748,0.32726245492400785
160.0,-7.5,2,30.0,106219.285295454,0.3949997429625298
165.0,-6.5,5,26.0,94382.57437888607,0.34832489584462384
170.0,-7.25,4,29.0,86026.43807072916,0.3527540309426336
175.0,-5.5,4,22.0,125034.4137511658,0.2679745895544171
180.0,-9.25,5,37.0,133842.8031613365,0.4058205195289606
185.0,-6.25,1,25.0,89532.53573531659,0.45655307202612644
190.0,-3.75,5,15.0,50206.16129770192,0.22520573431425042
195.0,-15.0,11,60.0,102450.0954917083,0.2034998222155189
200.0,-22.25,8,89.0,79704.92846744241,0.29897298286610124
205.0,-18.0,5,72.0,100545.81837064178,0.3435844883248117
210.0,-14.75,7,59.0,90454.32342752861,0.3541810866398284
215.0,-14.25,5,57.0,60795.93576260658,0.2629259550229765
220.0,-7.25,4,29.0,69988.39490765345,0.2850299892004553
225.0,-8.25,9,33.0,99166.91445816592,0.28581921239762603
230.0,-9.0,3,36.0,100849.51527320896,0.3409451916973888
235.0,-6.75,4,27.0,94623.25639006289,0.33179441177932734
240.0,-9.75,8,39.0,119696.70472192489,0.3223916910220037
245.0,-10.0,5,40.0,97153.86139608944,0.3317297052999838
250.0,-7.0,4,28.0,90002.70641617474,0.23015280512233566
255.0,-14.0,8,56.0,167837.39282266283,0.3423121753184683
260.0,-17.25,5,69.0,82921.88440750133,0.3778411530677524
265.0,-12.75,7,51.0,106841.34049614538,0.22656614576117742
270.0,-16.0,10,64.0,118352.21683386074,0.27798803372562475
275.0,-21.25,7,85.0,106234.10973369579,0.3512550496228
280.0,-17.5,6,70.0,89399.80345326361,0.3221660037501097
285.0,-18.0,9,72.0,71914.36612700658,0.29234406733369017
290.0,-20.5,7,82.0,64409.869488444274,0.19151905702891361
295.0,-16.0,8,64.0,128837.35793600917,0.2457452305880587
300.0,-19.25,11,77.0,139075.88468052345,0.32830326361356194
305.0,-23.25,6,93.0,107590.11395674897,0.33035488093916227
310.0,-14.75,6,59.0,101423.2852344232,0.27100653660459945
315.0,-15.75,9,63.0,132027.40850475608,0.29408739335925094
320.0,-17.5,8,70.0,98266.40431534941,0.24270422580149636
325.0,-17.25,8,69.0,115516.46376003789,0.25761457945687366
330.0,-26.25,13,105.0,141174.97662862448,0.2806923235584747
335.0,-33.5,11,134.0,92713.42530235715,0.2410912746196803
340.0,-28.75,8,115.0,118671.1695817284,0.237469249205163
345.0,-25.75,14,103.0,123521.48367947897,0.2606291748901472
350.0,-30.25,12,121.0,104636.82290356723,0.21184496544050901
355.0,-30.25,8,121.0,138628.95919762246,0.2506879960488135
360.0,-29.5,11,118.0,159011.7180805094,0.28620170806829276
365.0,-29.75,7,119.0,112116.47900205773,0.3359839157017964
370.0,-23.0,7,92.0,119826.70432527285,0.23899066427996699
375.0,-29.5,12,118.0,135530.66939052587,0.27368454623457605
380.0,-33.5,10,134.0,91895.97283423136,0.24257780030780568
385.0,-29.5,10,118.0,73794.44074722652,0.12901774838348126
390.0,-28.0,11,112.0,92588.72805107152,0.17756799777362256
395.0,-34.5,9,138.0,102195.83953069703,0.24874672425682548
400.0,-27.75,7,111.0,102205.71311572095,0.24910513818064067
405.0,-27.5,9,110.0,97350.18222372039,0.248904963034077
410.0,-29.25,8,117.0,105447.46253095998,0.21831283681496302
415.0,-28.25,7,113.0,104294.32510717608,0.2509278712640352
420.0,-25.75,7,103.0,84641.96249601514,0.2090634795427063
425.0,-23.5,6,94.0,145851.25901977046,0.22760166371012422
430.0,-12.25,5,49.0,114184.17783907743,0.24503673713487095
435.0,-15.75,9,63.0,174552.5834950019,0.30964721919661103
440.0,-19.0,8,76.0,124754.5096164812,0.35452557562712167
445.0,-21.5,11,86.0,86741.98358324078,0.1898182192466577
450.0,-30.75,16,123.0,116901.73363167669,0.15273042122067965
455.0,-43.5,12,174.0,168558.2571808655,0.20928187429624892
460.0,-40.5,7,162.0,146808.38688818255,0.3140821620938961
465.0,-36.5,15,146.0,133356.62031635604,0.2115623743232089
470.0,-43.25,14,173.0,152675.12818327002,0.2524118835107436
475.0,-41.75,12,167.0,127762.69843291983,0.22080551907591392
480.0,-43.25,16,173.0,143107.69040678165,0.1871681009497537
485.0,-50.25,15,201.0,135768.27197606565,0.1847818237823911
490.0,-54.0,13,216.0,134926.82794414854,0.16654396978100763
495.0,-56.25,13,225.0,164024.76308292313,0.20830318597063816
500.0,-59.75,14,239.0,182689.5765963247,0.25734349601394885
505.0,-57.25,12,229.0,146692.94195377384,0.21952925841723833
510.0,-55.5,20,222.0,139240.37260033548,0.14135250174696573
515.0,-67.5,20,270.0,155820.06268399546,0.1267653518559458
520.0,-68.75,15,275.0,184279.2917128925,0.1671158962779829
525.0,-73.75,16,295.0,173707.10972467525,0.21044314258712868
530.0,-78.75,14,315.0,143447.62168606563,0.1758018293233023
535.0,-74.75,14,299.0,137477.42736979856,0.1403280656522577
540.0,-78.25,20,313.0,156584.2533539134,0.1749955165099341
545.0,-93.25,21,373.0,137240.82533854272,0.13182059187586612
550.0,-98.75,22,395.0,175869.87160134735,0.18240773206052474
555.0,-96.75,17,387.0,179295.26974616398,0.1919064735572648
560.0,-98.75,13,395.0,158025.27536073563,0.20084504123779373
565.0,-92.0,14,368.0,159975.14892627342,0.18802964914711542
570.0,-88.25,19,353.0,127149.66796128025,0.1275509975195306
575.0,-100.5,21,402.0,142944.31906146026,0.08911178702356537
580.0,-106.25,23,425.0,163534.10122491777,0.1344365026083418
585.0,-101.75,15,407.0,148268.45118766284,0.18069170457072314
590.0,-105.5,14,422.0,132045.64941233976,0.1704998008642114
595.0,-96.0,13,384.0,145975.79706050165,0.18022297625889705
600.0,-96.5,20,386.0,141455.88333903864,0.13794322245020252
605.0,-107.75,22,431.0,164364.18160857612,0.1397491353642683
610.0,-105.0,21,420.0,178799.83550263857,0.1596998982216962
615.0,-102.5,14,410.0,152535.96769519587,0.1535372972080618
620.0,-104.5,9,418.0,162957.7872267425,0.19112719941835668
625.0,-100.5,14,402.0,165248.29589410426,0.20987112918068473
630.0,-101.75,20,407.0,135594.14833717325,0.1470625196178781
635.0,-113.75,23,455.0,147020.99082897478,0.10302051091670812
640.0,-113.75,18,455.0,177721.5526278629,0.13894349668903327
645.0,-109.75,14,439.0,216514.1927508717,0.23912939892344212
650.0,-106.25,8,425.0,159688.9496943039,0.21383688963517994
655.0,-96.0,12,384.0,163258.07400827025,0.16957513509952862
660.0,-95.25,18,381.0,162861.9204213528,0.16501938252375226
665.0,-102.75,17,411.0,133722.03776216035,0.13870912742365193
670.0,-99.0,14,396.0,139744.77283625223,0.12660132590632342
675.0,-93.5,17,374.0,175856.6953803141,0.14285461201150654
680.0,-100.0,12,400.0,158623.3423249227,0.18680491895791193
685.0,-91.5,12,366.0,141329.84009806102,0.19372958666349405
690.0,-83.0,18,332.0,141431.96015268692,0.1381681242424542
695.0,-92.25,20,369.0,182520.87294128363,0.14228533994716222
700.0,-94.5,19,378.0,183517.58781678326,0.15699277173797266
705.0,-91.75,15,367.0,190025.71760936192,0.1799927788244653
710.0,-95.5,11,382.0,146465.51212625174,0.15584355890844548
715.0,-91.0,14,364.0,144107.65958321374,0.14331384692474755
720.0,-92.25,17,369.0,137672.83064921704,0.1387970000948963
725.0,-101.75,19,407.0,166096.17083370886,0.1557271426162491
730.0,-97.25,19,389.0,163889.04240510368,0.17379150481958655
735.0,-95.25,20,381.0,186787.74722037572,0.18342821690397657
740.0,-102.5,15,410.0,148388.99505401708,0.16918254431203422
745.0,-98.25,12,393.0,150159.79737714297,0.17258083348920428
750.0,-98.75,22,395.0,156916.50996995583,0.13637207272525362
755.0,-112.0,20,448.0,167239.31359998448,0.1623940913431247
760.0,-114.0,18,456.0,173829.60118178534,0.1896609618762208
765.0,-107.5,15,430.0,150497.5501970434,0.15349191760050368
770.0,-115.25,16,461.0,155379.95767609877,0.1451000569303039
775.0,-114.0,18,456.0,160771.71492187335,0.17285883196490312
780.0,-109.5,20,438.0,140783.51375624427,0.17381135138045556
785.0,-119.5,17,478.0,147783.35309797048,0.1547659733973865
790.0,-115.25,17,461.0,163311.81976251697,0.15149248922505412
795.0,-108.0,17,432.0,155157.09644726478,0.18832390086362888
800.0,-110.25,15,441.0,167748.3257311475,0.20987769136909837
805.0,-100.75,14,403.0,125017.60361237198,0.19956974285748375
810.0,-87.0,20,348.0,141629.17420500162,0.1410285371533144
815.0,-96.25,18,385.0,144142.88330147814,0.13709514077064713
820.0,-96.5,14,386.0,158608.96839408524,0.17509066087943437
825.0,-90.25,16,361.0,166542.8185262387,0.17415591872581523
830.0,-95.5,16,382.0,135216.90536678262,0.19768719889661443
835.0,-93.25,18,373.0,136270.08757311548,0.15321158853046554
840.0,-85.0,23,340.0,175503.31287665394,0.14988574911489108
845.0,-94.75,17,379.0,158011.8262612447,0.16332208144540353
850.0,-91.25,13,365.0,168200.38741173953,0.20894358512229314
855.0,-87.25,17,349.0,135450.09696613377,0.20789375766687496
860.0,-93.0,15,372.0,150446.5587360391,0.19257829963924789
865.0,-84.25,18,337.0,164419.21328550208,0.17239547038791891
870.0,-73.25,17,293.0,157815.58432966992,0.174379422409973
875.0,-82.75,12,331.0,153622.99181890348,0.23158413876600664
880.0,-76.5,7,306.0,139525.80781564242,0.18073643586963353
885.0,-77.5,13,310.0,122757.53960521007,0.18110796040638494
890.0,-82.0,17,328.0,133218.79749239294,0.14948728179739726
895.0,-76.75,18,307.0,146653.73186460513,0.1404268927292334
900.0,-69.75,17,279.0,130827.61729595954,0.16867527335520113
905.0,-77.25,13,309.0,164518.66898781058,0.178321834432103
910.0,-79.5,12,318.0,179646.49060734943,0.23687004750407303
915.0,-87.5,17,350.0,144777.20493048086,0.19664275788518035
920.0,-92.0,15,368.0,146961.20359294588,0.2049412194236421
925.0,-85.0,16,340.0,151442.61634193195,0.20611544849675734
930.0,-72.75,18,291.0,147550.43860037904,0.15090477690017193
935.0,-84.25,14,337.0,137252.09970332406,0.13800206673683982
940.0,-83.0,15,332.0,151204.62013144387,0.15420083759863232
945.0,-92.0,15,368.0,155491.8021769579,0.17308331828226584
950.0,-96.75,16,387.0,167174.27811102572,0.16808560261010375
955.0,-89.75,15,359.0,181924.20652967438,0.17673153938400157
960.0,-75.75,17,303.0,159833.38665883525,0.16714928404416285
965.0,-86.5,14,346.0,180704.4085528728,0.1787480856601006
970.0,-93.75,15,375.0,163103.18752096087,0.17995980846993212
975.0,-100.25,16,401.0,154922.11140050288,0.17276303018358596
980.0,-105.0,15,420.0,121928.68282204856,0.12763931610152238
985.0,-97.25,14,389.0,143169.3606696913,0.11217006003183227
990.0,-86.25,17,345.0,159884.68684298353,0.1261546348177713
995.0,-87.0,9,348.0,166120.97752467275,0.20552196392428773
1000.0,-88.75,14,355.0,184560.4036001901,0.2142597315086982
1005.0,-91.5,16,366.0,154566.74783971757,0.1963987312053728
1010.0,-95.75,14,383.0,136432.03051114734,0.17245616815085915
1015.0,-86.25,13,345.0,135239.7920987145,0.1475827598928436
1020.0,-77.75,15,311.0,141346.49045118553,0.13644726856069334
1025.0,-79.25,12,317.0,152355.01345922574,0.15545517923685115
1030.0,-78.5,11,314.0,134888.66953924752,0.14967621298593223
1035.0,-78.5,12,314.0,149132.51368547394,0.1685414800887373
1040.0,-83.75,13,335.0,170370.7417984957,0.1600643563073204
1045.0,-77.5,13,310.0,144315.34676836408,0.16059388436443625
1050.0,-70.25,17,281.0,156174.08399171903,0.15939822454519773
1055.0,-82.0,15,328.0,150643.22190712133,0.16591445066286697
1060.0,-87.25,13,349.0,163239.0606861888,0.18500696798288388
1065.0,-95.0,16,380.0,197555.70643950897,0.20886949234576027
1070.0,-100.25,15,401.0,138925.6257582064,0.17764996581327633
1075.0,-95.5,18,382.0,120987.8293150808,0.10677930546397518
1080.0,-89.5,23,358.0,160764.38285175562,0.10392415699600137
1085.0,-102.75,15,411.0,146269.55602556074,0.14697087913015502
1090.0,-104.5,14,418.0,144631.73288779773,0.15751803300944864
1095.0,-115.0,18,460.0,168909.20592959094,0.1425610495041422
1100.0,-121.25,14,485.0,179275.77152605448,0.20419754703195162
1105.0,-107.0,18,428.0,176327.14830952132,0.1982433301353534
1110.0,-101.25,20,405.0,153763.95215114823,0.1351697414505368
1115.0,-116.5,18,466.0,184795.0186914472,0.141774972042201
1120.0,-124.25,16,497.0,198017.68819069825,0.18652525219742358
1125.0,-129.25,18,517.0,182502.3951965648,0.16783502065359518
1130.0,-134.5,19,538.0,145976.65045046053,0.15360278559117432
1135.0,-127.75,17,511.0,167501.72475213278,0.16843621477488355
1140.0,-111.0,19,444.0,162476.69887672475,0.14256129887890356
1145.0,-122.0,17,488.0,138767.70687136307,0.1032458523197018
